Well,Fluor,Target,Content,Sample,Cq,relative_concentration,primer_desc,type,date,sample_name,bio_Rep,QrgB,geno
B1,SYBR,,Unknown,,26.03145186,1,rpoC,reference,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B3,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,noTemplate,1,,noTemplate
B5,SYBR,,Unknown,,24.33330965,1,rpoC,reference,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B7,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,noTemplate,2,,noTemplate
B9,SYBR,,Unknown,,29.67259788,1,cdgC,sample,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B11,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,noTemplate,1,,noTemplate
B13,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B15,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,noTemplate,2,,noTemplate
B17,SYBR,,Unknown,,29.52379809,1,SnrC,sample,7/9/25,dL_wt_Bstar,2,star,dL_wt_Bstar
B19,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,noTemplate,1,,noTemplate
B21,SYBR,,Unknown,,28.05180507,1,SnrC,sample,7/9/25,dL_wt_PVC2224,2,,dL_wt_PVC2224
B23,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,noTemplate,2,,noTemplate
D1,SYBR,,Unknown,,27.40027205,1,rpoC,reference,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D3,SYBR,,Unknown,,25.8712199,1,rpoC,reference,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D5,SYBR,,Unknown,,26.16260231,1,rpoC,reference,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D7,SYBR,,Unknown,,45,1,rpoC,reference,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
D9,SYBR,,Unknown,,30.39382285,1,cdgC,sample,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D11,SYBR,,Unknown,,26.84913484,1,cdgC,sample,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D13,SYBR,,Unknown,,28.05892473,1,cdgC,sample,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D15,SYBR,,Unknown,,30.21686735,1,cdgC,sample,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
D17,SYBR,,Unknown,,29.77430394,1,SnrC,sample,7/9/25,dL_wt_Bstar,1,star,dL_wt_Bstar
D19,SYBR,,Unknown,,18.15875272,1,SnrC,sample,7/9/25,dL_wt_B_anticdgCJ,3,active,dL_wt_B_anticdgCJ
D21,SYBR,,Unknown,,28.97813923,1,SnrC,sample,7/9/25,dL_wt_PVC2224,1,,dL_wt_PVC2224
D23,SYBR,,Unknown,,29.81279689,1,SnrC,sample,7/9/25,CW2035_emptyVector,3,,CW2035_emptyVector
F1,SYBR,,Unknown,,26.18595059,1,rpoC,reference,7/9/25,dL_dR_B,3,active,dL_dR_B
F3,SYBR,,Unknown,,25.79061584,1,rpoC,reference,7/9/25,dL_wt_B_anticdgCJ,2,active,dL_wt_B_anticdgCJ
F5,SYBR,,Unknown,,25.3784799,1,rpoC,reference,7/9/25,CW2034_dJ_B,3,active,CW2034_dJ_B
F7,SYBR,,Unknown,,24.97339239,1,rpoC,reference,7/9/25,CW2035_emptyVector,2,,CW2035_emptyVector
F9,SYBR,,Unknown,,31.46236679,1,cdgC,sample,7/9/25,dL_dR_B,3,active,dL_dR_B
F11,SYBR,,Unknown,,26.82882306,1,cdgC,sample,7/9/25,dL_wt_B_anticdgCJ,2,active,dL_wt_B_anticdgCJ
F13,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,CW2034_dJ_B,3,,CW2034_dJ_B
F15,SYBR,,Unknown,,30.52985297,1,cdgC,sample,7/9/25,CW2035_emptyVector,2,,CW2035_emptyVector
F17,SYBR,,Unknown,,29.36713089,1,SnrC,sample,7/9/25,dL_dR_B,3,active,dL_dR_B
F19,SYBR,,Unknown,,18.64995759,1,SnrC,sample,7/9/25,dL_wt_B_anticdgCJ,2,active,dL_wt_B_anticdgCJ
F21,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,CW2034_dJ_B,3,active,CW2034_dJ_B
F23,SYBR,,Unknown,,30.06037195,1,SnrC,sample,7/9/25,CW2035_emptyVector,2,,CW2035_emptyVector
H1,SYBR,,Unknown,,27.01867238,1,rpoC,reference,7/9/25,dL_dR_B,2,active,dL_dR_B
H3,SYBR,,Unknown,,26.02798066,1,rpoC,reference,7/9/25,dL_wt_B_anticdgCJ,1,active,dL_wt_B_anticdgCJ
H5,SYBR,,Unknown,,26.09432248,1,rpoC,reference,7/9/25,CW2034_dJ_B,2,active,CW2034_dJ_B
H7,SYBR,,Unknown,,25.53831078,1,rpoC,reference,7/9/25,CW2035_emptyVector,1,,CW2035_emptyVector
H9,SYBR,,Unknown,,31.63823293,1,cdgC,sample,7/9/25,dL_dR_B,2,active,dL_dR_B
H11,SYBR,,Unknown,,26.68071975,1,cdgC,sample,7/9/25,dL_wt_B_anticdgCJ,1,active,dL_wt_B_anticdgCJ
H13,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,CW2034_dJ_B,2,active,CW2034_dJ_B
H15,SYBR,,Unknown,,30.36218989,1,cdgC,sample,7/9/25,CW2035_emptyVector,1,,CW2035_emptyVector
H17,SYBR,,Unknown,,29.22258775,1,SnrC,sample,7/9/25,dL_dR_B,2,active,dL_dR_B
H19,SYBR,,Unknown,,19.03639468,1,SnrC,sample,7/9/25,dL_wt_B_anticdgCJ,1,active,dL_wt_B_anticdgCJ
H21,SYBR,,Unknown,,36.11241142,1,SnrC,sample,7/9/25,CW2034_dJ_B,2,active,CW2034_dJ_B
H23,SYBR,,Unknown,,29.99684942,1,SnrC,sample,7/9/25,CW2035_emptyVector,1,,CW2035_emptyVector
J1,SYBR,,Unknown,,28.26780272,1,rpoC,reference,7/9/25,dL_dR_B,1,active,dL_dR_B
J3,SYBR,,Unknown,,26.49889328,1,rpoC,reference,7/9/25,dL_wt_B,3,active,dL_wt_B
J5,SYBR,,Unknown,,26.52813953,1,rpoC,reference,7/9/25,CW2034_dJ_B,1,active,CW2034_dJ_B
J7,SYBR,,Unknown,,27.96832325,1,rpoC,reference,7/9/25,dL_dR_PVC2224,3,,dL_dR_PVC2224
J9,SYBR,,Unknown,,31.53136589,1,cdgC,sample,7/9/25,dL_dR_B,1,active,dL_dR_B
J11,SYBR,,Unknown,,28.02070909,1,cdgC,sample,7/9/25,dL_wt_B,3,active,dL_wt_B
J13,SYBR,,Unknown,,45,1,cdgC,sample,7/9/25,CW2034_dJ_B,1,active,CW2034_dJ_B
J15,SYBR,,Unknown,,31.80347218,1,cdgC,sample,7/9/25,dL_dR_PVC2224,3,,dL_dR_PVC2224
J17,SYBR,,Unknown,,29.09523656,1,SnrC,sample,7/9/25,dL_dR_B,1,active,dL_dR_B
J19,SYBR,,Unknown,,29.57584553,1,SnrC,sample,7/9/25,dL_wt_B,3,active,dL_wt_B
J21,SYBR,,Unknown,,45,1,SnrC,sample,7/9/25,CW2034_dJ_B,1,active,CW2034_dJ_B
J23,SYBR,,Unknown,,30.22099393,1,SnrC,sample,7/9/25,dL_dR_PVC2224,3,,dL_dR_PVC2224
K2,SYBR,,Unknown,,37,0.000976563,rpoC,dill_ser,7/9/25,,,,
K18,SYBR,,Unknown,,36.19634246,0.000976563,SnrC,dill_ser,7/9/25,,,,
L1,SYBR,,Unknown,,27.7858019,1,rpoC,reference,7/9/25,dL_dR_Bstar,3,star,dL_dR_Bstar
L2,SYBR,,Unknown,,35.69571513,0.00390625,rpoC,dill_ser,7/9/25,,,,
L3,SYBR,,Unknown,,26.82493855,1,rpoC,reference,7/9/25,dL_wt_B,2,active,dL_wt_B
L5,SYBR,,Unknown,,25.13748153,1,rpoC,reference,7/9/25,dL_wt_B_sensecdgCJ,3,active,dL_wt_B_sensecdgCJ
L7,SYBR,,Unknown,,25.71191204,1,rpoC,reference,7/9/25,dL_dR_PVC2224,2,,dL_dR_PVC2224
L9,SYBR,,Unknown,,31.62184475,1,cdgC,sample,7/9/25,dL_dR_Bstar,3,star,dL_dR_Bstar
L11,SYBR,,Unknown,,28.26569363,1,cdgC,sample,7/9/25,dL_wt_B,2,active,dL_wt_B
L13,SYBR,,Unknown,,27.06902006,1,cdgC,sample,7/9/25,dL_wt_B_sensecdgCJ,3,active,dL_wt_B_sensecdgCJ
L15,SYBR,,Unknown,,31.27734798,1,cdgC,sample,7/9/25,dL_dR_PVC2224,2,,dL_dR_PVC2224
L17,SYBR,,Unknown,,29.75824343,1,SnrC,sample,7/9/25,dL_dR_Bstar,3,star,dL_dR_Bstar
L18,SYBR,,Unknown,,35.22233742,0.00390625,SnrC,dill_ser,7/9/25,,,,
L19,SYBR,,Unknown,,30.02414945,1,SnrC,sample,7/9/25,dL_wt_B,2,active,dL_wt_B
L21,SYBR,,Unknown,,28.80617141,1,SnrC,sample,7/9/25,dL_wt_B_sensecdgCJ,3,active,dL_wt_B_sensecdgCJ
L23,SYBR,,Unknown,,29.02847627,1,SnrC,sample,7/9/25,dL_dR_PVC2224,2,,dL_dR_PVC2224
M2,SYBR,,Unknown,,32.48396242,0.015625,rpoC,dill_ser,7/9/25,,,,
M10,SYBR,,Unknown,,36.53712371,0.015625,cdgC,dill_ser,7/9/25,,,,
M18,SYBR,,Unknown,,33.68769198,0.015625,SnrC,dill_ser,7/9/25,,,,
N1,SYBR,,Unknown,,26.83685254,1,rpoC,reference,7/9/25,dL_dR_Bstar,2,star,dL_dR_Bstar
N2,SYBR,,Unknown,,30.83450784,0.0625,rpoC,dill_ser,7/9/25,,,,
N3,SYBR,,Unknown,,25.75947102,1,rpoC,reference,7/9/25,dL_wt_B,1,active,dL_wt_B
N5,SYBR,,Unknown,,25.18587672,1,rpoC,reference,7/9/25,dL_wt_B_sensecdgCJ,2,active,dL_wt_B_sensecdgCJ
N7,SYBR,,Unknown,,25.24636329,1,rpoC,reference,7/9/25,dL_dR_PVC2224,1,,dL_dR_PVC2224
N9,SYBR,,Unknown,,32.13896204,1,cdgC,sample,7/9/25,dL_dR_Bstar,2,star,dL_dR_Bstar
N10,SYBR,,Unknown,,36.03701837,0.0625,cdgC,dill_ser,7/9/25,,,,
N11,SYBR,,Unknown,,27.84803171,1,cdgC,sample,7/9/25,dL_wt_B,1,active,dL_wt_B
N13,SYBR,,Unknown,,28.05675006,1,cdgC,sample,7/9/25,dL_wt_B_sensecdgCJ,2,active,dL_wt_B_sensecdgCJ
N15,SYBR,,Unknown,,31.43801985,1,cdgC,sample,7/9/25,dL_dR_PVC2224,1,,dL_dR_PVC2224
N17,SYBR,,Unknown,,29.73933904,1,SnrC,sample,7/9/25,dL_dR_Bstar,2,star,dL_dR_Bstar
N18,SYBR,,Unknown,,32.4463225,0.0625,SnrC,dill_ser,7/9/25,,,,
N19,SYBR,,Unknown,,30.31869639,1,SnrC,sample,7/9/25,dL_wt_B,1,active,dL_wt_B
N21,SYBR,,Unknown,,29.17044326,1,SnrC,sample,7/9/25,dL_wt_B_sensecdgCJ,2,active,dL_wt_B_sensecdgCJ
N23,SYBR,,Unknown,,28.79304253,1,SnrC,sample,7/9/25,dL_dR_PVC2224,1,,dL_dR_PVC2224
O2,SYBR,,Unknown,,28.83322337,0.25,rpoC,dill_ser,7/9/25,,,,
O10,SYBR,,Unknown,,33.7302184,0.25,cdgC,dill_ser,7/9/25,,,,
O18,SYBR,,Unknown,,30.45243439,0.25,SnrC,dill_ser,7/9/25,,,,
P1,SYBR,,Unknown,,27.1045714,1,rpoC,reference,7/9/25,dL_dR_Bstar,1,star,dL_dR_Bstar
P2,SYBR,,Unknown,,26.89064227,1,rpoC,dill_ser,7/9/25,,,,
P3,SYBR,,Unknown,,26.55068078,1,rpoC,reference,7/9/25,dL_wt_Bstar,3,star,dL_wt_Bstar
P5,SYBR,,Unknown,,25.96233311,1,rpoC,reference,7/9/25,dL_wt_B_sensecdgCJ,1,active,dL_wt_B_sensecdgCJ
P7,SYBR,,Unknown,,25.71974082,1,rpoC,reference,7/9/25,dL_wt_PVC2224,3,,dL_wt_PVC2224
P9,SYBR,,Unknown,,31.69765405,1,cdgC,sample,7/9/25,dL_dR_Bstar,1,star,dL_dR_Bstar
P10,SYBR,,Unknown,,32.13897644,1,cdgC,dill_ser,7/9/25,,,,
P11,SYBR,,Unknown,,30.64611193,1,cdgC,sample,7/9/25,dL_wt_Bstar,3,star,dL_wt_Bstar
P13,SYBR,,Unknown,,27.81732862,1,cdgC,sample,7/9/25,dL_wt_B_sensecdgCJ,1,active,dL_wt_B_sensecdgCJ
P15,SYBR,,Unknown,,29.26689345,1,cdgC,sample,7/9/25,dL_wt_PVC2224,3,,dL_wt_PVC2224
P17,SYBR,,Unknown,,29.23671884,1,SnrC,sample,7/9/25,dL_dR_Bstar,1,star,dL_dR_Bstar
P18,SYBR,,Unknown,,28.89600506,1,SnrC,dill_ser,7/9/25,,,,
P19,SYBR,,Unknown,,30.49186436,1,SnrC,sample,7/9/25,dL_wt_Bstar,3,star,dL_wt_Bstar
P21,SYBR,,Unknown,,29.81234414,1,SnrC,sample,7/9/25,dL_wt_B_sensecdgCJ,1,active,dL_wt_B_sensecdgCJ
P23,SYBR,,Unknown,,29.22178871,1,SnrC,sample,7/9/25,dL_wt_PVC2224,3,,dL_wt_PVC2224
